,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3
153,154,50-65,1,"CAUCASIAN, NON-HISPANIC;",SOUTHEAST,SELLING SUNSET,4-5/WEEK,BROCCOLI,LETTUCE (ANY KIND),SPINACH,CAULIFLOWER,GREEN BEANS,LETTUCE (ANY KIND),,NONE,LETTUCE (ANY KIND),,NONE,SAUTEED,,NONE,APPLES,GRAPES,WATERMELON
154,155,40-49,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,CHICAGO PD,4-5/WEEK,BROCCOLI,GREEN BEANS,SPINACH,SWEET POTATOES ,,BROCCOLI,GREEN BEANS,SPINACH,BROCCOLI,SPINACH,SWEET POTATOES ,BAKED,FRIED/AIR-FRIED,GRILLED,BANANAS,OTHER,PINEAPPLE
155,156,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,A MILLION LITTLE THINGS,DAILY 6-7 WEEK ,LETTUCE (ANY KIND),BROCCOLI,CARROTS,SPINACH,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,BROCCOLI,ASPARAGUS,LETTUCE (ANY KIND),GREEN BEANS,GRILLED,STEAMED,,BANANAS,BLACKBERRIES,APPLES
156,157,20-29,1,ASIAN;,MIDWEST,90 DAY FIANCE,DAILY 6-7 WEEK ,LETTUCE (ANY KIND),SPINACH,CORN,ASPARAGUS,CARROTS,LETTUCE (ANY KIND),SPINACH,CARROTS,BRUSSEL SPROUTS,SPINACH,CORN,FRIED/AIR-FRIED,SAUTEED,,BLUEBERRIES,STRAWBERRIES,GRAPES
157,158,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GILMORE GIRLS ,DAILY 6-7 WEEK ,SPINACH,LETTUCE (ANY KIND),CARROTS,BROCCOLI,SQUASH,BROCCOLI,SPINACH,LETTUCE (ANY KIND),SQUASH,SPINACH,CAULIFLOWER,BAKED,SAUTEED,STEAMED,BANANAS,APPLES,GRAPES
158,159,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHICAGO FIRE,DAILY 6-7 WEEK ,LETTUCE (ANY KIND),CORN,CAULIFLOWER,CARROTS,CUCUMBERS,PEAS,BROCCOLI,CAULIFLOWER,ASPARAGUS,,NONE,FRIED/AIR-FRIED,GRILLED,STEAMED,BANANAS,GRAPES,APPLES
159,160,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BONES,2-3/WEEK,CARROTS,CORN,PEAS,SPINACH,GREEN BEANS,CARROTS,CORN,PEAS,CARROTS,GREEN BEANS,SPINACH,STEAMED,,NONE,APPLES,ORANGES,PINEAPPLE
160,161,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SHETLAND,DAILY 6-7 WEEK ,BROCCOLI,LETTUCE (ANY KIND),CORN,GREEN BEANS,ASPARAGUS,LETTUCE (ANY KIND),CORN,ASPARAGUS ,ASPARAGUS ,LETTUCE (ANY KIND),GREEN BEANS,MICROWAVED,SAUTEED,GRILLED,PINEAPPLE,PEACHES,ORANGES
161,162,40-49,0,"CAUCASIAN, NON-HISPANIC;",NORTHWEST,STRANGER THINGS,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,BROCCOLI,LETTUCE (ANY KIND),GREEN BEANS,BROCCOLI,LETTUCE (ANY KIND),CAULIFLOWER,BAKED,BOILED,GRILLED,STRAWBERRIES,BLUEBERRIES,BLACKBERRIES
162,163,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,FIREFLY,4-5/WEEK,CUCUMBERS,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),GREEN BEANS,LETTUCE (ANY KIND),BROCCOLI,CAULIFLOWER,ASPARAGUS,SPINACH,BROCCOLI,BOILED,BAKED,GRILLED,RASPBERRIES,WATERMELON,STRAWBERRIES
163,164,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OUTLANDER,4-5/WEEK,BROCCOLI,GREEN BEANS,CORN,SPINACH,CARROTS,BROCCOLI,CARROTS,GREEN BEANS,BRUSSELS SPROUTS,GREEN BEANS,BROCCOLI,GRILLED,SAUTEED,FRIED/AIR-FRIED,GRAPES,STRAWBERRIES,BANANAS
